DeviceUsageID,UserID,DeviceID,LocationID,TimeSpent
1,1,1,1,3.5
2,1,5,2,2.5
3,2,3,2,1.5
4,3,4,3,1.2
5,3,2,4,2
6,3,1,1,3.5
7,4,5,3,2.5
8,5,5,3,2.5
9,6,5,1,2.5
10,6,2,1,2
11,6,4,2,1.2
12,7,3,2,1.5
13,8,1,1,3.5
14,8,2,4,2
15,9,5,2,2.5
16,10,4,4,1.2
17,10,5,4,2.5
18,10,3,2,1.5
19,11,2,4,2
20,11,5,4,2.5
21,12,5,2,2.5
22,12,4,2,1.2
23,13,1,3,3.5
24,13,3,4,1.5
25,13,5,2,2.5
26,14,3,4,1.5
27,15,5,3,2.5
28,16,4,3,1.2
29,17,4,3,1.2
30,17,2,4,2
31,18,4,2,1.2
32,18,5,2,2.5
33,18,3,1,1.5
34,19,4,2,1.2
35,19,1,4,3.5
36,19,2,3,2
37,20,4,1,1.2
38,20,5,4,2.5
39,20,3,1,1.5
40,21,1,4,3.5
41,21,4,4,1.2
42,21,2,3,2
43,22,3,1,1.5
44,22,2,1,2
45,22,1,1,3.5
46,23,3,2,1.5
47,23,4,4,1.2
48,23,1,4,3.5
49,24,4,3,1.2
50,25,4,3,1.2
51,25,2,1,2
52,25,5,4,2.5
53,26,5,2,2.5
54,26,2,1,2
55,27,4,3,1.2
56,28,5,3,2.5
57,28,4,2,1.2
58,29,5,1,2.5
59,29,2,2,2
60,30,2,3,2
61,30,5,4,2.5
62,30,3,3,1.5
63,31,5,1,2.5
64,31,2,2,2
65,32,3,1,1.5
66,32,4,1,1.2
67,32,2,3,2
68,33,3,4,1.5
69,34,1,1,3.5
70,35,4,3,1.2
71,35,1,3,3.5
72,36,5,4,2.5
73,36,2,4,2
74,36,3,3,1.5
75,37,3,2,1.5
76,38,1,1,3.5
77,38,5,1,2.5
78,39,5,1,2.5
79,39,1,3,3.5
80,39,2,2,2
81,40,2,4,2
82,41,5,2,2.5
83,41,1,3,3.5
84,42,2,1,2
85,42,5,3,2.5
86,43,1,1,3.5
87,43,3,1,1.5
88,43,4,4,1.2
89,44,1,4,3.5
90,45,5,4,2.5
91,46,2,2,2
92,46,1,3,3.5
93,46,5,3,2.5
94,47,3,3,1.5
95,47,1,4,3.5
96,48,5,4,2.5
97,48,1,3,3.5
98,49,4,4,1.2
99,50,5,4,2.5
100,50,4,4,1.2
101,51,3,2,1.5
102,51,4,2,1.2
103,51,2,1,2
104,52,3,1,1.5
105,52,1,2,3.5
106,53,1,4,3.5
107,53,4,1,1.2
108,53,2,2,2
109,54,5,4,2.5
110,54,3,3,1.5
111,54,1,1,3.5
112,55,3,3,1.5
113,56,4,3,1.2
114,56,1,3,3.5
115,56,3,1,1.5
116,57,5,2,2.5
117,57,2,4,2
118,58,3,3,1.5
119,58,2,4,2
120,58,4,4,1.2
121,59,3,1,1.5
122,59,5,4,2.5
123,60,4,1,1.2
124,61,5,1,2.5
125,62,2,2,2
126,62,1,4,3.5
127,63,3,4,1.5
128,64,5,4,2.5
129,64,2,1,2
130,65,5,1,2.5
131,65,1,4,3.5
132,65,2,1,2
133,66,4,1,1.2
134,66,3,2,1.5
135,67,5,1,2.5
136,68,2,3,2
137,68,3,3,1.5
138,69,3,2,1.5
139,69,4,4,1.2
140,70,5,3,2.5
141,70,3,4,1.5
142,71,3,3,1.5
143,71,1,3,3.5
144,72,2,3,2
145,72,4,4,1.2
146,73,2,3,2
147,74,4,3,1.2
148,74,5,1,2.5
149,75,2,3,2
150,75,4,3,1.2
151,75,5,4,2.5
152,76,5,3,2.5
153,77,1,4,3.5
154,77,2,4,2
155,78,4,2,1.2
156,79,3,1,1.5
157,80,2,4,2
158,81,2,4,2
159,82,2,3,2
160,83,1,2,3.5
161,84,5,3,2.5
162,84,1,3,3.5
163,85,1,1,3.5
164,85,4,3,1.2
165,86,5,1,2.5
166,86,3,4,1.5
167,86,2,1,2
168,87,1,3,3.5
169,88,4,3,1.2
170,89,5,3,2.5
171,89,3,1,1.5
172,90,1,2,3.5
173,91,1,1,3.5
174,91,2,1,2
175,92,3,1,1.5
176,92,5,2,2.5
177,93,2,2,2
178,93,3,1,1.5
179,93,1,2,3.5
180,94,5,1,2.5
181,94,3,3,1.5
182,94,4,2,1.2
183,95,2,3,2
184,95,5,1,2.5
185,95,4,2,1.2
186,96,3,3,1.5
187,97,3,4,1.5
188,98,4,4,1.2
189,98,2,1,2
190,98,3,3,1.5
191,99,4,3,1.2
192,100,5,4,2.5
193,100,1,2,3.5
194,100,2,1,2
195,101,2,3,2
196,101,3,1,1.5
197,102,3,2,1.5
198,102,1,4,3.5
199,102,2,4,2
200,103,1,4,3.5
201,104,2,3,2
202,104,1,2,3.5
203,104,4,2,1.2
204,105,1,3,3.5
205,105,5,2,2.5
206,106,2,1,2
207,106,5,3,2.5
208,107,3,3,1.5
209,107,4,2,1.2
210,107,1,2,3.5
211,108,4,1,1.2
212,108,3,4,1.5
213,109,1,3,3.5
214,109,3,4,1.5
215,109,5,3,2.5
216,110,3,2,1.5
217,110,5,3,2.5
218,110,4,2,1.2
